batch_id,input_symbol,input_company_name,nse_symbol,isin,legal_company_name,common_company_name,normalized_symbol,company_name_key,processed_status,processed_date,curation_status,overall_confidence,latest_annual_report_financial_year,source_profile_file,notes
nifty_500_shariah,BLUEDART,Blue Dart Express Ltd.,BLUEDART,INE233B01017,Blue Dart Express Limited,Blue Dart Express Limited,BLUEDART,BLUE DART EXPRESS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BLUEJET,Blue Jet Healthcare Ltd,BLUEJET,INE0KBH01020,Blue Jet Healthcare Limited,Blue Jet Healthcare Limited,BLUEJET,BLUE JET HEALTHCARE,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BLUESTARCO,Blue Star Ltd.,BLUESTARCO,INE472A01039,Blue Star Limited,Blue Star Limited,BLUESTARCO,BLUE STAR,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BPCL,Bharat Petroleum Corporation Ltd.,BPCL,INE029A01011,Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,BPCL,BHARAT PETROLEUM,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BRITANNIA,Britannia Industries Ltd.,BRITANNIA,INE216A01030,Britannia Industries Limited,Britannia Industries Limited,BRITANNIA,BRITANNIA INDUSTRIES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BSOFT,Birlasoft Ltd.,BSOFT,INE836A01035,BIRLASOFT LIMITED,BIRLASOFT LIMITED,BSOFT,BIRLASOFT,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,CARBORUNIV,Carborundum Universal Ltd.,CARBORUNIV,INE120A01034,Carborundum Universal Limited,Carborundum Universal Limited,CARBORUNIV,CARBORUNDUM UNIVERSAL,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,CASTROLIND,Castrol India Ltd.,CASTROLIND,INE172A01027,Castrol India Limited,Castrol India Limited,CASTROLIND,CASTROL INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2025-2025,company_profiles.jsonl,
nifty_500_shariah,CEATLTD,Ceat Ltd.,CEATLTD,INE482A01020,CEAT Limited,CEAT Limited,CEATLTD,CEAT,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,CEMPRO,Cemindia Projects Ltd.,CEMPRO,INE686A01026,Cemindia Projects Limited,Cemindia Projects Limited,CEMPRO,CEMINDIA PROJECTS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,CGPOWER,CG Power and Industrial Solutions Ltd.,CGPOWER,INE067A01029,CG Power and Industrial Solutions Limited,CG Power and Industrial Solutions Limited,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,INE085A01013,Chambal Fertilizers & Chemicals Limited,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,CHAMBAL FERTILIZERS AND CHEMICALS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
